salaries|company|location|position
96000|Dia&Co|New York, NY|Software Engineer
109000|IPsoft|New York, NY|Lead Software Development Engineer in Test (SDET)
122000|Reaktor|New York, NY|Software Development Engineer
123000|IBM|New York, NY|Entry-Level Data Scientist
152000|Bloomberg|New York, NY|Software Engineer - Multi Asset Risk Systems (MARS)
123000|Fareportal Inc.|New York, NY|Sr. Software Engineer
150000|Lord Abbett|Jersey City, NJ|Software Engineer
125000|MakeSpace|New York, NY|Software Engineer
100000|UBS|New York, NY|IT Software Engineer
82000|Bloomberg|New York, NY|Senior C++ Engineer - Fixed Income Pricing and Risk
182000|OKCupid|New York, NY|Senior Software Engineer - Backend
95000|CLEAR|New York, NY|Software Engineer
162000|Tradeweb Markets LLC|Jersey City, NJ|Sr. C++ Software Engineer
149000|NFL|New York, NY|Software Engineer (II) (Football Solutions)
129000|Fareportal Inc.|New York, NY|Sr. Data Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer (Productivity) - Trading Solutions
71000|Compass|New York, NY|QA Engineer
168000|Venmo|New York, NY|Senior Software Engineer, Data Platforms
122000|MediaMath|New York, NY|Software Engineer III
95000|OppenheimerFunds|New York, NY|Java Software Developer / Engineer
95000|CLEAR|New York, NY|Software Engineer
142000|Accenture|New York, NY|Data Scientist
60000|Movable Ink|New York, NY|QA Analyst
129000|Bloomberg|New York, NY|Senior NoSQL Platform Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - JavaScript
128000|XO Group|New York, NY|Software Engineer
145000|Shutterstock|New York, NY|Software Engineer
156000|Dataminr|New York, NY|Software Engineer, Data Infrastructure
103000|Bloomberg|New York, NY|Software Engineer / Research Scientist - Question Answering
181000|Squarespace|New York, NY|Senior Software Engineer - Product Backend
138000|Addepar|New York, NY|Software Engineering Manager
82000|Vettery|New York, NY|Software Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer Fixed Income Core
119000|Architizer|New York, NY|Software Engineer
71000|Compass|New York, NY|QA Engineer
118000|Millennium Management (Investment Firm)|New York, NY|QA Engineer
170000|Spotify|New York, NY|Senior Software Engineer - Data
104000|Zillow|New York, NY|Software Development Engineer - Internship
132000|Crane Aerospace & Electronics|West Caldwell, NJ|Engineer IV Process
120000|Percolate|New York, NY|Backend Engineer
137000|SeatGeek|New York, NY|Software Engineer - SG Open
154000|New Relic|New York, NY|Senior Software Engineer, Site Reliability - Remote
81000|Datalot|Brooklyn, NY|Software Engineer
91000|CALA|New York, NY|Software Engineer
119000|Eze Software|New York, NY|Sales Engineer
156000|Dataminr|New York, NY|Software Engineer, Machine Learning
69000|RTS Realtime Systems|New York, NY|2019 Software Engineer Intern
132000|Bloomberg|New York, NY|Linux Kernel Engineer - Operating Systems Engineering Team
142000|Accenture|New York, NY|Data Scientist
82000|Affinity Solutions|New York, NY|Mid-Level PHP Programmer ware Engineer
101000|MasterCard|New York, NY|Software Engineer
123000|MapR|New York, NY|Data Engineer - Solution Design
92000|LGS Innovations|Florham Park, NJ|Software Engineer Systems Developer
118000|Vidyo|Hackensack, NJ|QA Software Engineer
157000|Kensho|New York, NY|Software Engineer - Indices
155000|Blink Health|New York, NY|Full Stack Software Engineer
178000|Spotify|New York, NY|Engineering Manager - Backend
118000|Vidyo|Hackensack, NJ|Software Engineer
123000|ThoughtWorks|New York, NY|Lead Software Developer
93000|Bridgeline Digital|New York, NY|System Engineer
138000|Tapad|New York, NY|Senior UI Engineer
169000|Greenhouse Software|New York, NY|Senior Software Engineer
116000|Micro Focus|New York, NY|Sales Engineer, Identity & Governance Products
157000|McAfee|New York, NY|Sr. Sales Engineer (NYC
114000|Boxed Wholesale|New York, NY|Software Engineer
119000|Two Bulls|Brooklyn, NY|Senior Software Engineer
137000|Voxy|New York, NY|Software Engineer
123000|Farfetch|New York, NY|Senior Software Engineer (Python)
93000|PayPal|New York, NY|Software Engineer Intern
141000|PlaceIQ|New York, NY|Software Engineer
112000|JUUL Labs|New York, NY|Full-Stack Software Engineer
118000|VTS|New York, NY|Software Engineer
92000|Comcast|New York, NY|Software Engineer
162000|Hudson River Trading|New York, NY|Low Level Software Engineer (C++)
111000|J.P. Morgan|New York, NY|Software Engineer
130000|Chicago Board Options Exchange|New York, NY|Software Engineer
71000|IBM|New York, NY|2019 Software Developer Internship
174000|Bloomberg|New York, NY|Senior Software Engineer - Bloomberg Vault
174000|Bloomberg|New York, NY|Senior Software Engineer - HR Engineering
104000|Zillow|New York, NY|Software Development Engineer - Internship
148000|Foursquare|New York, NY|Software Engineer
76000|Clevertech|New York, NY|Back End Data Engineer
137000|Google|New York, NY|Software Engineer
152000|Bloomberg|New York, NY|Data Services Software Engineer - Data & Analytics Platform Team
174000|Bloomberg|New York, NY|Senior Software Engineer - JavaScript
82000|ZT Systems|Secaucus, NJ|Thermal Engineer
156000|Dataminr|New York, NY|Software Engineer, Machine Learning
174000|Bloomberg|New York, NY|Senior Software Engineer - Developer Experience
78000|IPsoft|New York, NY|AV Systems Engineer
148000|Kensho|New York, NY|Data Scientist
142000|JOOR|New York, NY|Software Engineer
134000|BCG Digital Ventures|New York, NY|Senior Data Engineer
97000|TripAdvisor|New York, NY|18-19 - Campus - Software Engineer Intern
174000|Bloomberg|New York, NY|Senior Software Engineer - Equity
155000|Blink Health|New York, NY|Software Engineer - Data Platform
82000|Global Atlantic Financial Group|New York, NY|Python Application Developer - Investment Office
77000|Greenhouse Software|New York, NY|Senior IT Support Engineer
151000|Integral Ad Science|New York, NY|Senior Software Engineer
106000|Syska Hennessy|New York, NY|Senior Mechanical Engineer (HVAC Design)
150000|Lord Abbett|Jersey City, NJ|Software Engineer
154000|New Relic|New York, NY|Senior Software Engineer, Site Reliability - Remote
83000|StructuredWeb|New York, NY|Software Engineer
177000|LiveRamp|New York, NY|Senior Software Engineer - Emergent Tech (Gazette)
119000|Two Bulls|Brooklyn, NY|Senior Software Engineer
127000|Betterment|New York, NY|Software Engineer - Backend
103000|Bloomberg|New York, NY|Software Engineer arch Scientist - Question Answering
208000|Namely|New York, NY|Principal Software Engineer
144000|1010data|New York, NY|Software Development Engineer, Site Reliability
116000|FactSet|New York, NY|Software Engineer
113000|Grubhub|New York, NY|Software Engineer I
96000|Vettery|New York, NY|Senior Software Engineer
89000|Neverware|New York, NY|Software Engineer
137000|Dow Jones|New York, NY|Senior Web Engineer
117000|Moody's Analytics|New York, NY|Software Engineer
96000|Dia&Co|New York, NY|Software Engineer
132000|Invitae|New York, NY|Software Engineer
126000|TMC Bonds|New York, NY|Software Engineer
183000|Spotify|New York, NY|Staff Software Engineer, Backend
110000|Medidata Solutions|New York, NY|Software Engineer
107000|TD Ameritrade|Jersey City, NJ|Software Developer (ReactJSS), Cloud Platforms
174000|Bloomberg|New York, NY|Senior Software Engineer - Feeds Infrastructure
130000|Farfetch|New York, NY|Senior Data Scientist
125000|Moody's Investors Service, Inc.|New York, NY|Software Engineer
105000|Hearst|New York, NY|Software Engineer
108000|IPC Systems, Inc.|New York, NY|Senior Customer Implementation Engineer
125000|World Wide Technology|New York, NY|Software Engineer
99000|Tradeweb Markets LLC|Jersey City, NJ|QA Automation Engineer
176000|33Across|New York, NY|Principal Software Engineer
200000|Tapad|New York, NY|Senior Software Engineer
121000|New York Times|New York, NY|Software Engineer
98000|Robert Half Technology|New York, NY|Software Engineer
113000|Quicken Loans|New York, NY|Software Engineer - Progress - REMOTE
113000|Grubhub|New York, NY|Software Engineer I
148000|Foursquare|New York, NY|Software Engineer
154000|New Relic|New York, NY|Senior Software Engineer, Site Reliability - Remote
131000|1010data|New York, NY|Software Data Engineer
98000|Microsoft Corporation|New York, NY|Internship opportunities for students: Software Engineering & Program Management
97000|Couchbase|New York, NY|Senior Solutions Engineer
106000|Syska Hennessy|New York, NY|Senior Mechanical Engineer (HVAC Design)
88000|OrderGroove|New York, NY|Software Engineer
105000|Kaplan|New York, NY|Software Engineer
78000|ZT Systems|Secaucus, NJ|Enterprise Software Developer
89000|Everwise|New York, NY|Software Engineer
116000|Micro Focus|New York, NY|Sales Engineer, Security
152000|Bloomberg|New York, NY|Software EngineerApplication Middleware
174000|Bloomberg|New York, NY|Senior Software Engineer - Distributed Systems
104000|Flatiron Health|New York, NY|Software Engineering Intern
101000|State Street Corporation|New York, NY|Cloud Infrastructure Engineer - NY
75000|ZT Systems|Secaucus, NJ|Technical Program Manager, Systems
156000|Integral Ad Science|New York, NY|Data Scientist
164000|Etsy|New York, NY|Software Engineering Manager
122000|Animoto|New York, NY|Software Design Engineer in Test
106000|Custora|New York, NY|Data Scientist
148000|1010data|New York, NY|Sr. Software Engineer, Cloud Technologies
108000|Warby Parker|New York, NY|Software Engineer, Development Platform
75000|ManTech|New York, NY|IT Field Engineer
152000|Bloomberg|New York, NY|Software EngineerApplication Middleware
120000|Lifion|New York, NY|Software Engineer
111000|MongoDB|New York, NY|Software Engineering Intern - Summer 2019
174000|Bloomberg|New York, NY|Senior Software Engineer - Bloomberg Vault
200000|Tapad|New York, NY|Senior Software Engineer - Device Graph Team
109000|1010data|New York, NY|Systems Engineer (Windows, VMWare)
148000|Trov|New York, NY|Software Engineering Managertor
97000|Ultimate Software|New York, NY|CLOUD OPERATIONS ENGINEER
132000|2U|New York, NY|Software Engineer, Campus Content
106000|Clever Devices|New York, NY|Manager, Software Engineering in Test
68000|GameChanger|New York, NY|QA Analyst
149000|ShopKeep|New York, NY|Software Engineer
121000|comiXology|New York, NY|Software Development Engineer
103000|Bloomberg|New York, NY|AI Research Scientist
82000|Bloomberg|New York, NY|Senior C++ Engineer - Fixed Income Pricing and Risk
114000|Sandata Technologies|Port Washington, NY|Sr. Software Engineer SAM
120000|Lifion|New York, NY|Software Engineer
87000|Sage|New York, NY|Pre-sales Engineer. ERP Experience a Must!
149000|MediaMath|New York, NY|Principal Software Engineer
112000|Via|New York, NY|Data Scientist
161000|Better Mortgage|New York, NY|Software Engineer
106000|Hardesty and Hanover|New York, NY|Senior Civil Engineer
103000|Bloomberg|New York, NY|AI Research Scientist
111000|High 5 Games|New York, NY|Game Engineer (Innovation)
87000|Guardian Life|New York, NY|Application Developer- ETL & Web Services
103000|Bloomberg|New York, NY|AI Research Scientist
129000|Spotify|New York, NY|Engineering Manager - Backend
127000|Dow Jones|New York, NY|Software Engineer
124000|Automation Anywhere|New York, NY|RPA Sales Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - Feeds Infrastructure
119000|Two Bulls|Brooklyn, NY|Senior Software Engineer
182000|OKCupid|New York, NY|Senior Software Engineer - Backend
148000|Trov|New York, NY|Software Engineering Managertor
121000|Clever Devices|New York, NY|Software Engineer
184000|IPsoft|New York, NY|Senior Software Development Manager-Autonomic Computing
170000|Spotify|New York, NY|Senior Software Engineer - Data
111000|Dow Jones|New York, NY|Senior Software Engineer
100000|Spredfast|New York, NY|Sales Engineer - NYC
98000|2U|New York, NY|Software Engineer, Applicant Systems
145000|Policygenius|New York, NY|Senior Software Engineer
108000|MLB.com|New York, NY|Software Engineer
200000|Tapad|New York, NY|Senior Software Engineer
131000|Invesco|New York, NY|Data Scientist
129000|Spotify|New York, NY|Engineering Manager - Backend
92000|Comcast|New York, NY|Software Engineer
86000|Hardesty and Hanover|New York, NY|Civil Engineer
72000|H2M|New York, NY|Project Structural Engineer
81000|FactSet|New York, NY|Software Engineering Intern
162000|Tradeweb Markets LLC|Jersey City, NJ|Sr. C++ Software Engineer
118000|VTS|New York, NY|Software Engineer
167000|WeWork|New York, NY|Senior Full-Stack Software Engineer - Digital
82000|Affinity Solutions|New York, NY|Mid-Level PHP Programmer / Software Engineer
120000|Amazon|New York, NY|Software Development Engineer
94000|Dow Jones|New York, NY|Software Engineer
130000|Pariveda Solutions|New York, NY|Software Developer
86000|Computer Generated Solutions|New York, NY|Sr. Infrastructure Systems Engineer
144000|Integral Ad Science|New York, NY|Software Engineer - Video Engineer - OTT
69000|Impact|New York, NY|Software Engineer: Web APIs
115000|UPS|Secaucus, NJ|Agile Lead Applications Developer
108000|New York University|New York, NY|Senior Software Engineer
110000|Medidata Solutions|New York, NY|Software Engineer
117000|Bloomberg|New York, NY|2019 Software Engineer Intern
102000|Rauxa|New York, NY|Software Engineer
133000|Greenhouse Software|New York, NY|Software Engineer
108000|Synechron Inc.|Weehawken, NJ|DevOps Engineer
123000|Engineering Resource Group, Inc.|New York, NY|Embedded Software Engineer
118000|Namely|New York, NY|Senior Database Reliability Engineer
140000|Volant Trading|New York, NY|Senior Network Engineer
90000|Endurance International Group|New York, NY|Software Engineer
88000|Vestorly|New York, NY|Software Engineer
111000|J.P. Morgan|New York, NY|Software Engineer
122000|BCG Digital Ventures|New York, NY|Backend Engineer
90000|CBRE|New York, NY|Software Engineer
140000|ApTask|New York, NY|Software Engineer
105000|Asynchrony Labs|New York, NY|Software Engineer
117000|Broadway Technology|New York, NY|Software Engineer Intern
65000|Bowman Consulting Group|Cedar Knolls, NJ|Civil Engineer II - Cedar Knolls, NJ
164000|Spotify|New York, NY|Data Engineer
105000|IBM|New York, NY|Software Engineer
172000|Jump Trading|New York, NY|Software Engineer, Trading Infrastructure
174000|Bloomberg|New York, NY|Senior Backend Software Engineer Trade Automation & Execution
85000|LiveIntent|New York, NY|Data Engineer
145000|Bloomberg|New York, NY|Senior Software Engineer Application Frameworks
89000|Flatiron Health|New York, NY|QA Engineer, Manual
178000|Spotify|New York, NY|Engineering Manager - Data
127000|Avero|Boulder, CO|Senior Software Engineer - Integrations
174000|Bloomberg|New York, NY|Senior Software Engineer - Developer Experience
126000|Dropbox|New York, NY|Software Engineer Intern
92000|Xyntek, Inc|Ridgefield, NJ|Engineering - Process Engineer
88000|Splash|New York, NY|QA Engineer
133000|Venmo|New York, NY|Data Scientist, Analytics
142000|Flatiron Health|New York, NY|Software Engineer
183000|Spotify|New York, NY|Staff Software Engineer, Backend
93000|IntraEdge|New York, NY|Software QA Automation Engineer
137000|SeatGeek|New York, NY|Software Engineer
110000|BAMTECH Media|New York, NY|Software Engineer
116000|Integral Ad Science|New York, NY|Senior Systems Engineer
132000|Phreesia|New York, NY|Data Scientist
80000|Arthur Lawrence|Newark, NJ|Software Engineer
152000|Bloomberg|New York, NY|Software Engineer - Multi Asset Risk Systems (MARS)
119000|Wyng|New York, NY|Software Engineer
150000|Lord Abbett|Jersey City, NJ|Software Engineer
130000|Transfix|New York, NY|Software Engineer
146000|BARK|New York, NY|Software Engineer
130000|XO Group|New York, NY|Senior Software Engineer- Lasting
174000|Bloomberg|New York, NY|Senior Software Engineer - Electronic Trading (C++)
151000|Namely|New York, NY|Senior Software Engineer (Frontend)
145000|Bloomberg|New York, NY|Senior Software Engineer - Application Integration
139000|Medidata Solutions|New York, NY|Sr. Engineering Manager
127000|Avero|Boulder, CO|Senior Software Engineer - Integrations
95000|Greystone &Co|New York, NY|QA Engineer
93000|PayPal|New York, NY|Software Engineer Intern
48000|Revature|New York, NY|Junior Software Developer
118000|iHeartMedia Inc.|New York, NY|Software Engineer
105000|Asynchrony Labs|New York, NY|Software Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - Equity
173000|Bloomberg|New York, NY|Senior Systems Engineer - Infrastructure Bloomberg Platform
146000|Medidata Solutions|New York, NY|Principal Software Engineer (Dev/Ops, Ruby on Rails ( ROR ) & AWS)
123000|Endurance International Group|New York, NY|Senior Software Engineer
108000|Chase|New York, NY|Mobile Software Engineer
120000|Amazon|New York, NY|Software Development Engineer
138000|Oscar Insurance|New York, NY|Junior Software Engineer: Web & Mobile
123000|GroundTruth|New York, NY|Software Engineer
144000|Unified|New York, NY|Software Engineer - Full-Stack
141000|Gemological Institute of America, Inc.|New York, NY|Data Scientist
151000|Wolverine Trading|New York, NY|Linux Systems Engineer
162000|Managed By Q|New York, NY|Engineering Manager
160000|Knewton|New York, NY|Senior Software Engineer, Fullstack
169000|Managed By Q|New York, NY|Senior Software Engineer
104000|Teladoc|New York, NY|Software Engineer
108000|Chase|New York, NY|Software Engineer
125000|MakeSpace|New York, NY|Software Engineer
103000|TMP WORLDWIDE|New York, NY|Data Science Engineer
154000|Integral Ad Science|New York, NY|Senior Software Engineer - Data Engineering - OTT
62000|CBRE|New York, NY|Software Engineer Intern
82000|Affinity Solutions|New York, NY|Mid-Level PHP Programmer / Software Engineer
133000|Greenhouse Software|New York, NY|Software Engineer
94000|AlphaSights|New York, NY|Software Engineer
117000|Moody's Analytics|New York, NY|Software Engineer
95000|Stride Consulting|New York, NY|Software Engineer
137000|SeatGeek|New York, NY|Software Engineer
92000|Nasdaq|New York, NY|Software Developer
119000|Eze Software|New York, NY|Sales Engineer
78000|Tavant Technologies Inc|New York, NY|QA Engineer
144000|Integral Ad Science|New York, NY|Software Engineer - Video Engineer - OTT
110000|Reaktor|New York, NY|Senior Software Engineer
169000|Managed By Q|New York, NY|Senior Software Engineer
132000|Bloomberg|New York, NY|SRE - Systems Engineering
125000|IAC|New York, NY|Software Engineer
150000|Lord Abbett|Jersey City, NJ|Software Engineer
117000|WeWork|New York, NY|Infrastructure Engineer
81000|FAST|Iselin, NJ|Software Engineer (Entry Level) - Software Implementation Consultant
141000|Volant Trading|New York, NY|Software Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - Feeds Infrastructure
171000|Jet|New York, NY|Senior Software Engineer
103000|Bloomberg|New York, NY|Machine Learning Research Scientist - Text Analytics
151000|Dataminr|New York, NY|Network Engineer
169000|Reddit|New York, NY|Senior Software Engineer, Ad Yield
130000|Sumitomo Mitsui Banking Corporation|New York, NY|Software Engineer
190000|Namely|New York, NY|Staff Software Engineer
118000|Vidyo|Hackensack, NJ|Software Engineer C/C++
118000|iHeartMedia Inc.|New York, NY|Software Engineer
121000|Clever Devices|New York, NY|Software Engineer
81000|FAST|Iselin, NJ|Software Engineer (Entry Level) - Software Implementation Consultant
111000|Nasdaq|New York, NY|Software Engineer
183000|Spotify|New York, NY|Staff Software Engineer, Backend
71000|BrainPOP|New York, NY|QA Engineer
111000|J.P. Morgan|Jersey City, NJ|Software Engineering
87000|Grid Dynamics|New York, NY|DevOps Engineer
68000|Arkadium|New York, NY|Software Development Intern
108000|Chase|New York, NY|Software Engineer
137000|SeatGeek|New York, NY|Software Engineer
109000|Consensys|New York, NY|Software Engineer, Backend
100000|Nasdaq|New York, NY|QA Test Engineer Senior Specialist
103000|Bloomberg|New York, NY|Software Engineer / Research Scientist - Question Answering
98000|Microsoft Corporation|New York, NY|Internship opportunities for students: Software Engineering & Program Management
132000|Integral Ad Science|New York, NY|Application Security Engineer Specialist
174000|Bloomberg|New York, NY|Bloomberg Engineering Instructor/ Senior Software Engineer
121000|Dstillery|New York, NY|Software Engineer
152000|LGS Innovations|Florham Park, NJ|Software Engineer IV
123000|Endurance International Group|New York, NY|Senior Software Engineer
110000|Medidata Solutions|New York, NY|Software Engineer
125000|Addepar|New York, NY|Software Engineer
74000|Syska Hennessy|New York, NY|Senior Electrical Engineer (Design Engineer)
145000|Spotify|New York, NY|Web Engineer
114000|Boxed Wholesale|New York, NY|Software Engineer
130000|Sumitomo Mitsui Banking Corporation|New York, NY|Software Engineer
101000|SinglePlatform|New York, NY|Software Engineer
169000|Tenable|New York, NY|Engineering Manager (Platform Services)
132000|Invitae|New York, NY|Software Engineer
63000|Clevertech|New York, NY|Ruby on Rails Engineer
125000|Addepar|New York, NY|Software Engineer
94000|AlphaSights|New York, NY|Software Engineer
178000|Coinbase|New York, NY|Engineering Manager - Coinbase Prime
120000|American Management Association|New York, NY|Software Development Manager
122000|IPsoft|New York, NY|Senior Software Engineer (Java/ Spring)
125000|2U|New York, NY|Sr. Software Engineer, Online Campus
137000|Blend Labs Inc.|New York, NY|Software Engineer
132000|Reaktor|New York, NY|Software Engineer
100000|LiveIntent|New York, NY|Senior Software Engineer
123000|GroundTruth|New York, NY|Software Engineer
174000|Plex Systems, Inc.|New York, NY|Software Engineering Sr. Manager/Director
77000|Fareportal Inc.|New York, NY|IT Engineer
118000|Vidyo|Hackensack, NJ|QA Software Engineer
111000|Dow Jones|New York, NY|Senior Software Engineer
127000|Meredith Corporation|New York, NY|Software Engineer
151000|Integral Ad Science|New York, NY|Senior Software Engineer (Fullstack)
132000|Appway|New York, NY|Senior Software Architect
105000|IBM|New York, NY|Software Engineer
86000|Payoneer|New York, NY|QA automation
127000|Avero|Boulder, CO|Senior Software Engineer - Integrations
103000|Bloomberg|New York, NY|Machine Learning Research Scientist - Text Analytics
91000|MoviePass|New York, NY|Software Engineer
126000|LGS Innovations|Florham Park, NJ|Firmware Software Engineer
89000|Vidyo|Hackensack, NJ|Junior Software Engineer C/C++
126000|The Trade Desk|New York, NY|Software Engineer
135000|Enigma|New York, NY|Data Scientist
101000|Shapeways|New York, NY|Software Engineers for Shapeways
108000|Endurance|New York, NY|Senior Software Engineer
103000|TMP WORLDWIDE|New York, NY|Data Science Engineer
126000|LGS Innovations|Florham Park, NJ|Software Engineer
148000|Trov|New York, NY|Software Engineering Manager/Director
165000|Two Sigma|New York, NY|Software Engineering Internship
91000|Vettery|New York, NY|Data Scientist
181000|Squarespace|New York, NY|Senior Software Engineer - Internal Products
100000|Nasdaq|New York, NY|QA Test Engineer Senior Specialist
156000|Dataminr|New York, NY|Software Engineer, Data Infrastructure
147000|The Trade Desk|New York, NY|Senior Full Stack Software Engineer
80000|Arthur Lawrence|Newark, NJ|Software Engineer
98000|Robert Half Technology|New York, NY|Software Engineer
142000|FiscalNote|New York, NY|Senior Software Engineer, Web Applications
157000|Uber|New York, NY|Sr Software Engineer - Android
120000|Oracle|Matawan, NJ|Software Engineer
79000|Visionet Systems|New York, NY|Software Engineer
97000|Oath|New York, NY|Software Engineering Intern
170000|Two Sigma|New York, NY|Data Scientist
174000|Bloomberg|New York, NY|Senior Software Engineer - News Core Application
123000|Medidata Solutions|New York, NY|Senior Applications Engineer, Performance (C#.NET/Java/Ruby)
119000|IntraEdge|New York, NY|Big Data Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - Fixed Income Pricing & Risk
111000|AKF Group|New York, NY|1089 Senior Project Manager/Mechanical Engineer - Healthcare
81000|Andiamo|New York, NY|Software Engineer
119000|Architizer|New York, NY|Software Engineer
118000|Vidyo|Hackensack, NJ|QA Software Engineer
95000|Fuze|New York, NY|Java Engineer
144000|Bounce Exchange|New York, NY|Software Engineer - Full-Stack
86000|IPsoft|New York, NY|QA Engineer
146000|Lyft|New York, NY|Software Engineer, Android
121000|Clever Devices|New York, NY|Software Engineer
137000|S&P Global Ratings|New York, NY|Data Scientist
64000|Medidata Solutions|New York, NY|Test Engineer 1
89000|The Trade Desk|New York, NY|Software Engineer Intern
146000|Lyft|New York, NY|Software Engineer, iOS
174000|Bloomberg|New York, NY|Senior Software Engineer - Trade Automation & Execution (Full Stack)
71000|BrainPOP|New York, NY|QA Engineer
169000|PDT Partners|New York, NY|Software Engineer
132000|Reaktor|New York, NY|Software Engineer
116000|Micro Focus|New York, NY|Sales Engineer, Security
132000|Tenable|New York, NY|Sr. Software Engineer, Platform Services
72000|Sony Music Entertainment|New York, NY|Software Engineer
84000|Digitas|New York, NY|Data Scientist
139000|Macquarie Group|New York, NY|Software Engineer
110000|Capgemini|New York, NY|Software Engineer
121000|Dstillery|New York, NY|Software Engineer
73000|NYC Criminal Justice Agency|New York, NY|.NET DEVELOPER
140000|Clarity Insights|New York, NY|Data Scientist - Principal - New York, NY
63000|Clevertech|New York, NY|Ruby on Rails Engineer
130000|Microsoft|New York, NY|Software Engineer
111000|Dow Jones|New York, NY|Senior Software Engineer
62000|ProHEALTH Care|New York, NY|Manager Network Engineer- New York Proton Center
181000|Squarespace|New York, NY|Senior Software Engineer - Android
126000|Dropbox|New York, NY|Software Engineer Intern
165000|JOOR|New York, NY|Senior Software Engineer
108000|Social Media Link|New York, NY|Senior Software Engineer
56000|Langan Engineering and Environmental Services|Parsippany, NJ|CAMPUS: Cooperative Education & Internship Opportunity - IT/CAD Software Development - Fall
128000|XO Group|New York, NY|Software Engineer
59000|FDM Group|New York, NY|Junior DevOps Software Engineer
105000|SS&C Advent|New York, NY|Software Engineer
108000|PSEG|Hancocks Bridge, NJ|Wide Area Network Engineer
165000|Handy|New York, NY|Software Engineer
118000|Vidyo|Hackensack, NJ|QA Software Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer Communication Systems
124000|Collibra|New York, NY|PreSales Engineer
67000|WeWork|New York, NY|Network Services Engineer
111000|The Orchard|New York, NY|Software Engineer
132000|Bloomberg|New York, NY|Linux Kernel Engineer - Operating Systems Engineering Team
95000|Stride Consulting|New York, NY|Software Engineer
120000|33Across|New York, NY|Software Engineer
112000|Via|New York, NY|Data Scientist
160000|Knewton|New York, NY|Senior Software Engineer, Backend
78000|Tavant Technologies Inc|New York, NY|QA Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer Fixed Income Core
95000|H2M|New York, NY|Senior Electrical Engineer
98000|Bentley Systems|New York, NY|Software Engineer II
95000|Vedicsoft Solutions|Iselin, NJ|Software Engineer
170000|Spotify|New York, NY|Senior Software Engineer - Data
63000|Clevertech|New York, NY|Ruby on Rails Engineer
145000|Bloomberg|New York, NY|Senior Software Engineer - Application Integration
111000|Nasdaq|New York, NY|Software Engineer
164000|Bloomberg|New York, NY|Senior SAP ABAP Engineer
82000|Persistent Systems LLC (New York)|New York, NY|Intern - Software Engineer
148000|Trov|New York, NY|Software Engineering Manager/Director
